ID,Risiko,Kategori,Kebarangkalian_1_5,Impak_1_5,Skor,Tahap,Pemilik,Tindakan_Mitigasi,Keutamaan_Ujian,Status
RSK-01,Data peribadi pelanggan (DF-10: fullName; email; phone; postcode) bocor melalui GET /api/orders/{orderId} tanpa autentikasi (RB-04) kepada sesiapa yang meneka ID pesanan berjujukan (FR-06: SF-1001); bercanggah dengan FR-08 yang menetapkan hanya pengguna berdaftar boleh melihat pesanan,Keselamatan,5,5,25,Kritikal,Ketua Pembangun,Ujian Newman: GET orders tanpa token; cuba akses dengan ID SF-1001 hingga SF-1010; sahkan respons 401 atau 403 berbanding 200 dengan data peribadi,P1,Terbuka
RSK-02,ID pesanan berjujukan SF-1001 (FR-06) membolehkan penyerang meneka dan mengakses pesanan pengguna lain tanpa kebenaran; kombinasi ID boleh diteka dengan tiada kawalan akses memudahkan eksploitasi,Keselamatan,5,4,20,Kritikal,Ketua Pembangun,Ujian enumerasi ID dalam Newman; uji akses /api/orders/SF-1001 hingga /api/orders/SF-1020 tanpa token; pastikan tiada 200 dengan data peribadi,P1,Terbuka
RSK-03,Kata laluan disimpan dengan SHA-256 + salt (RB-02) yang merupakan hash pantas; bukan bcrypt atau Argon2id; kata laluan lemah boleh dipecah secara ofline menggunakan BTC,Keselamatan,4,4,16,Tinggi,Ketua Pembangun,Audit kod modul log masuk; pastikan bcrypt atau Argon2id digunakan; uji pecahan kata laluan lemah pada sandbox,P1,Terbuka
RSK-04,Tiada had kadar permintaan (rate limiting) pada lapisan API (RB-03); penguncian akaun 3 cubaan hanya melindungi satu akaun; password spraying merentas banyak akaun tidak dikawal,Keselamatan,4,4,16,Tinggi,Ketua Pembangun,Ujian password spraying: cuba 3 kata laluan pada 10 akaun berbeza; pastikan tiada kejayaan; pasang rate limiter pada endpoint login,P1,Terbuka
RSK-05,Callback FPX (DF-07) dihantar melalui endpoint peralihan yang hanya memerlukan X-Session-Id sebarang rentetan (RB-05) tanpa tandatangan atau pengesahan asal; penyerang boleh menanda pesanan PAID atau FAIL tanpa bayaran sebenar,Reka Bentuk,4,4,16,Tinggi,Ketua Pembangun,Ujian keselamatan API: hantar transitions action pay tanpa tandatangan FPX; pastikan ditolak; cadang penggunaan HMAC atau token FPX yang dipersetujui,P1,Terbuka
RSK-06,Data pesanan hilang apabila proses dimulakan semula kerana stor dalam memori sahaja (architecture.md baris 22); tiada lapisan kegigihan data; pesanan PAID dan data peribadi Akta 709 hilang,Reka Bentuk,3,5,15,Tinggi,Ketua Pembangun,Ujian pemulihan: cipta pesanan; restart proses node.js; sahkan pesanan hilang (ini adalah penemuan); cadang integriti ke SQLite atau DB lain sebelum gate G3,P1,Terbuka
RSK-07,CORS membenarkan semua origin (TB1 kepada TB2) dan GET /api/orders/{orderId} tiada pengisytiharan security scheme (openapi baris 197 hingga 211); gabungan ini membolehkan permintaan merentas domain tanpa sekatan,Reka Bentuk,3,3,9,Sederhana,Ketua Pembangun,Ujian CORS: hantar permintaan dari origin berbeza; semak header Access-Control; hadkan origin kepada domain yang dibenarkan dalam pengeluaran,P2,Terbuka
RSK-08,Log stdout merekod email dan phone bagi checkout (RB-06) dan peristiwa keselamatan (log masuk gagal; penguncian; peralihan tidak sah) tidak direkodkan dengan identiti pelaku; tiada mekanisme amaran (alerting); data peribadi bocor ke log,Proses,3,3,9,Sederhana,Ketua Ujian,Audit log outputs: pastikan tiada email dan phone dalam log checkout; pastikan setiap percubaan log masuk gagal direkodkan dengan identiti; cadang sistem amaran,P2,Terbuka
RSK-09,Tiada reka bentuk laluan gagal; lambat; atau tamat masa bagi integrasi gerbang FPX dan perkhidmatan emel (architecture.md DF-06 hingga DF-08); kegagalan emel selepas pesanan dicipta (FR-06) tidak dikendalikan dan tiada kompensasi,Reka Bentuk,3,3,9,Sederhana,Ketua Pembangun,Ujian timeout integrasi: mock FPX dan emel untuk gagal selepas 30 saat; pastikan pesanan tidak tergantung; cadang retry atau dead letter queue,P2,Terbuka
RSK-10,Kontrak GET /api/orders/{orderId} hanya mendokumenkan respons 200 (openapi baris 206 hingga 211); kod 404 bagi order tidak wujud tidak dinyatakan walaupun skema Error wujud dan endpoint transitions mendokumenkan 404,Keperluan,3,3,9,Sederhana,Ketua Ujian,Ujian API: GET /api/orders/INVALID-123; pastikan 404 dipulangkan dengan skema Error; kemas kini openapi.yaml untuk menyertakan 404,P2,Terbuka
RSK-11,Masa respons checkout pada p95 hendaklah kurang daripada 2 saat dengan 50 pengguna serentak (REQ-CHK-06) belum diuji; tiada bukti ujian beban dalam CI atau persekitaran staging sebelum gate G3,Prestasi,3,4,12,Tinggi,Ketua Ujian,Jalankan ujian beban Newman atau Artillery dengan 50 pengguna maya serentak ke POST /api/checkout di staging; pantau p95; pastikan kurang 2 saat,P1,Terbuka
