TC_ID,FR_ID,Tajuk,Teknik,Partisi_Atau_Peraturan,Prasyarat,Langkah,Data_Ujian,Jangkaan,Keutamaan,Keputusan
TC-CHK-001,REQ-CHK-001,Kuantiti 2 diterima,Sah,BVA sempadan minimum: kuantiti 1,Sesi troli baharu tanpa item,1. POST /api/cart/items dengan productId P001 dan kuantiti 1; 2. Semak kod status dan medan quantity dalam respons,"{""productId"":""P001"",""quantity"":1}",201 dan kuantiti dalam respons ialah 1,Tinggi,Belum Dilaksana
TC-CHK-002,REQ-CHK-001,Kuantiti 5 diterima (sempadan tengah),BVA,Sempadan tengah julat 1 hingga 10: kuantiti 5,Sesi troli baharu tanpa item,1. POST /api/cart/items dengan productId P001 dan kuantiti 5; 2. Semak kod status dan medan quantity dalam respons,"{""productId"":""P001"",""quantity"":5}",201 dan kuantiti dalam respons ialah 5,Tinggi,Belum Dilaksana
TC-CHK-003,REQ-CHK-001,Kuantiti 0 ditolak (min tolak 1),BVA,Sempadan minimum 1: nilai 0 (tidak sah),Sesi troli baharu tanpa item,1. POST /api/cart/items dengan productId P001 dan kuantiti 0; 2. Semak kod status dan medan error,"{""productId"":""P001"",""quantity"":0}",400 dengan error VALIDATION_ERROR,Tinggi,Belum Dilaksana
TC-CHK-004,REQ-CHK-001,Kuantiti 11 ditolak (maksimum tambah 1),BVA,Sempadan maksimum 10: nilai 11 (tidak sah),Sesi troli baharu tanpa item,1. POST /api/cart/items dengan productId P001 dan kuantiti 11; 2. Semak kod status dan medan error,"{""productId"":""P001"",""quantity"":11}",400 dengan error VALIDATION_ERROR,Tinggi,Belum Dilaksana
TC-CHK-005,REQ-CHK-001,Kuantiti bukan nombor bulat ditolak,EP,Partisi tidak sah: nilai perpuluhan bukan integer,Sesi troli baharu tanpa item,1. POST /api/cart/items dengan productId P001 dan kuantiti 1.5; 2. Semak kod status dan medan error,"{""productId"":""P001"",""quantity"":1.5}",400 dengan error VALIDATION_ERROR,Tinggi,Belum Dilaksana
TC-CHK-006,REQ-CHK-001,Produk P006 stok 0 ditolak,EP,Partisi tidak sah: produk tiada stok,Sesi troli baharu tanpa item,1. POST /api/cart/items dengan productId P006 dan kuantiti 1; 2. Semak kod status dan medan error,"{""productId"":""P006"",""quantity"":1}",400 dengan error OUT_OF_STOCK,Tinggi,Belum Dilaksana
TC-CHK-007,REQ-CHK-003,Ahli dengan RAYA15 subtotal RM200 penghantaran percuma,BVA + Decision Table,Peraturan A: ahli + RAYA15 + subtotal >= 200,Sesi troli mengandungi P001 x 2 (subtotal 179.80); pelanggan telah log masuk sebagai aminah@example.test (ahli); kod RAYA15 telah digunakan,1. GET /api/cart; 2. Semak medan memberDiscount; 3. Semak medan promoDiscount; 4. Semak medan shipping; 5. Semak medan total,Troli: subtotal 200.00 memberDiscount 20.00 promoDiscount 30.00 discount 50.00 shipping 0 total 150.00,Tinggi,Belum Dilaksana
TC-CHK-008,REQ-CHK-003,Bukan ahli tanpa kod promosi tidak mendapat diskaun,Decision Table,Peraturan E: bukan ahli + tiada kod,Sesi troli baharu tanpa token log masuk mengandungi P001 x 2; tiada kod promosi,1. Tambah P001 x 2 ke troli; 2. Tanpa bearer token; 3. GET /api/cart; 4. Semak medan discount; 5. Semak medan shipping,Troli: subtotal 179.80 discount 0 shipping 8.00 total 187.80,Tinggi,Belum Dilaksana
TC-CHK-009,REQ-CHK-003,Ahli tanpa kod promosi mendapat diskaun ahli sahaja,Decision Table,Peraturan C: ahli + tiada kod,Sesi troli baharu mengandungi P002 x 2 (subtotal 100.00); pelanggan telah log masuk sebagai aminah@example.test (ahli); tiada kod promosi,1. Tambah P002 x 2 ke troli; 2. Dengan bearer token ahli; 3. GET /api/cart; 4. Semak medan discount; 5. Semak medan shipping,Troli: subtotal 100.00 discount 10.00 shipping 8.00 total 98.00,Tinggi,Belum Dilaksana
TC-CHK-010,REQ-CHK-003,Ahli dengan MEGA20 subtotal RM200 diskaun tidak melebihi 25 peratus,Decision Table,Peraturan F: had 25% diskaun gabungan,Sesi troli mengandungi P001 x 2 (subtotal 200.00); pelanggan telah log masuk sebagai aminah@example.test (ahli); kod MEGA20 telah digunakan,1. GET /api/cart; 2. Semak medan discount; 3. Sahkan discount tidak melebihi 25 peratus subtotal,Troli: subtotal 200.00 discount tidak melebihi 50.00 shipping 0 total tidak kurang 150.00,Tinggi,Belum Dilaksana
